Westernbank Puerto Rico,PR,30-Apr-10
R-G Premier Bank of Puerto Rico,PR,30-Apr-10
Eurobank,PR,30-Apr-10
1st Pacific Bank of California,CA,7-May-10
Towne Bank of Arizona,AZ,7-May-10
Access Bank,MN,7-May-10
The Bank of Bonifay,FL,7-May-10
Midwest Bank and Trust Company,IL,14-May-10
Southwest Community Bank,MO,14-May-10
New Liberty Bank,MI,14-May-10
Satilla Community Bank,GA,14-May-10
Pinehurst Bank,MN,21-May-10
Sun West Bank,NV,28-May-10
"Granite Community Bank, NA",CA,28-May-10
Bank of Florida - Tampa,FL,28-May-10
Bank of Florida - Southwest,FL,28-May-10
Bank of Florida - Southeast,FL,28-May-10
TierOne Bank,NE,4-Jun-10
Arcola Homestead Savings Bank,IL,4-Jun-10
First National Bank,MS,4-Jun-10
Washington First International Bank,WA,11-Jun-10
Nevada Security Bank,NV,18-Jun-10
High Desert State Bank,NM,25-Jun-10
First National Bank,GA,25-Jun-10
Peninsula Bank,FL,25-Jun-10
Home National Bank,OK,9-Jul-10
USA Bank,NY,9-Jul-10
Ideal Federal Savings Bank,MD,9-Jul-10
Bay National Bank,MD,9-Jul-10
"Mainstreet Savings Bank, FSB",MI,16-Jul-10
Olde Cypress Community Bank,FL,16-Jul-10
Turnberry Bank,FL,16-Jul-10
Metro Bank of Dade County,FL,16-Jul-10
First National Bank of the South,SC,16-Jul-10
Woodlands Bank,SC,16-Jul-10
Home Valley Bank,OR,23-Jul-10
SouthwestUSA Bank,NV,23-Jul-10
Community Security Bank,MN,23-Jul-10
Thunder Bank,KS,23-Jul-10
Williamsburg First National Bank,SC,23-Jul-10
Crescent Bank and Trust Company,GA,23-Jul-10
Sterling Bank,FL,23-Jul-10
LibertyBank,OR,30-Jul-10
The Cowlitz Bank,WA,30-Jul-10
Coastal Community Bank,FL,30-Jul-10
Bayside Savings Bank,FL,30-Jul-10
Northwest Bank & Trust,GA,30-Jul-10
Ravenswood Bank,IL,6-Aug-10
Palos Bank and Trust Company,IL,13-Aug-10
Sonoma Valley Bank,CA,20-Aug-10
Los Padres Bank,CA,20-Aug-10
Butte Community Bank,CA,20-Aug-10
Pacific State Bank,CA,20-Aug-10
ShoreBank,IL,20-Aug-10
Imperial Savings and Loan Association,VA,20-Aug-10
Independent National Bank,FL,20-Aug-10
Community National Bank at Bartow,FL,20-Aug-10
Horizon Bank,FL,10-Sep-10
Maritime Savings Bank,WI,17-Sep-10
Bramble Savings Bank,OH,17-Sep-10
The Peoples Bank,GA,17-Sep-10
First Commerce Community Bank,GA,17-Sep-10
Bank of Ellijay,GA,17-Sep-10
ISN Bank,NJ,17-Sep-10
North County Bank,WA,24-Sep-10
Haven Trust Bank Florida,FL,24-Sep-10
Shoreline Bank,WA,1-Oct-10
Wakulla Bank,FL,1-Oct-10
Premier Bank,MO,15-Oct-10
WestBridge Bank and Trust Company,MO,15-Oct-10
"Security Savings Bank, F.S.B.",KS,15-Oct-10
"First Arizona Savings, A FSB",AZ,22-Oct-10
Hillcrest Bank,KS,22-Oct-10
First Suburban National Bank,IL,22-Oct-10
The First National Bank of Barnesville,GA,22-Oct-10
The Gordon Bank,GA,22-Oct-10
Progress Bank of Florida,FL,22-Oct-10
First Bank of Jacksonville,FL,22-Oct-10
First Vietnamese American Bank,CA,5-Nov-10
Pierce Commercial Bank,WA,5-Nov-10
Western Commercial Bank,CA,5-Nov-10
K Bank,MD,5-Nov-10
Copper Star Bank,AZ,12-Nov-10
Darby Bank & Trust Co.,GA,12-Nov-10
Tifton Banking Company,GA,12-Nov-10
First Banking Center,WI,19-Nov-10
Allegiance Bank of North America,PA,19-Nov-10
Gulf State Community Bank,FL,19-Nov-10
Earthstar Bank,PA,10-Dec-10
Paramount Bank,MI,10-Dec-10
Community National Bank,MN,17-Dec-10
First Southern Bank,AR,17-Dec-10
"United Americas Bank, N.A.",GA,17-Dec-10
"Appalachian Community Bank, FSB",GA,17-Dec-10
Chestatee State Bank,GA,17-Dec-10
"The Bank of Miami,N.A.",FL,17-Dec-10
Legacy Bank,AZ,7-Jan-11
First Commercial Bank of Florida,FL,7-Jan-11
Oglethorpe Bank,GA,14-Jan-11
United Western Bank,CO,21-Jan-11
The Bank of Asheville,NC,21-Jan-11
CommunitySouth Bank & Trust,SC,21-Jan-11
Enterprise Banking Company,GA,21-Jan-11
First Community Bank,NM,28-Jan-11
FirsTier Bank,CO,28-Jan-11
Evergreen State Bank,WI,28-Jan-11
The First State Bank,OK,28-Jan-11
Community First Bank Chicago,IL,4-Feb-11
North Georgia Bank,GA,4-Feb-11
American Trust Bank,GA,4-Feb-11
Canyon National Bank,CA,11-Feb-11
Badger State Bank,WI,11-Feb-11
Peoples State Bank,MI,11-Feb-11
Sunshine State Community Bank,FL,11-Feb-11
"San Luis Trust Bank, FSB",CA,18-Feb-11
Charter Oak Bank,CA,18-Feb-11
Citizens Bank of Effingham,GA,18-Feb-11
Habersham Bank,GA,18-Feb-11
Valley Community Bank,IL,25-Feb-11
